Names,Group,Group Description,,Part 1,,,Part II,Exempt
,,,Group A,Group B,Group C,Group D,,
Abacavir; its salts,,,-,All preparations,,,,
Abatacept,,,-,All preparations,,,,
Abciximab,,,-,All preparations,,,,
Abiraterone,,,-,All preparations,,,,
Ambrisentan,,,-,All preparations,,,,
Acarbose,,,-,-,All preparations,,,
Acebutolol; its salts,,,-,-,,,,
Acepifylline,,,-,-,All preparations,,,
Acetanilide; alkylacetanilides,,,-,All preparations unless exempted,-,-,-,Preparations not for the internal treatment of human ailments
Acetazolamide,,,-,All preparations,,,,
Acetic anhydride,,,-,-,-,All preparations,,
Acetohexamide,,,-,-,All preparations,,,
N-acetylanthranilic acid,,,-,-,-,-,All preparations,
Acetyl bromide,,,-,-,-,All preparations,,
Acetyl chloride,,,-,-,-,All preparations,,
Acetylcarbromal,,,-,-,All preparations,,,
Acetylcholine; its salts,,,-,All preparations,,,,
Acitretin,,,-,All preparations,,,,
Acyclovir,,,-,All preparations except those in Group C,Preparations containing not more than 5% w/w of Acyclovir for topical use,,,
Adalimumab,,,-,All preparations,,,,
Adapalene,,,-,All preparations,,,,
Adefovir dipivoxil,,,-,All preparations,,,,
Adenosine,,,-,-,All preparations unless exempted,-,-,"Adenosine in –
(1) raw cordyceps;
(2) product which is registered under the Control of Drugs and Cosmetics Regulations 1984 [P.U.(A)223/1984] containing - denosine from natural resources;
(2A) cosmetic which is notified under the Control of Drugs and Cosmetics Regulations 1984
(3) Infant formula milk, follow up formula milk"
Adrenaline,,,Adrenaline including beta-agonist in animal feeds,-,Preparations other than those in Group A,,,
Aflibercept,,,-,All preparations,,,,
Agomelatine,,,-,All preparations,,,,
Alcaftadine,,,-,All preparations,,,,
Alclofenac,,,All preparations,,,,,
Alcuronium chloride,,,-,All preparations,,,,
Alefacept,,,-,All preparations,,,,
Alemtuzumab,,,-,All preparations,,,,
Alendronic acid; its salts,,,-,All preparations,,,,
Alfuzosin; its salts,,,-,All preparations,,,,
Aliskiren,,,-,All preparations,,,,
"Aconite, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Atropine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Belladonna, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Brucine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Surgical spirit containing not more than 0.015% of brucine
"Calabar bean, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Colchicine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",All preparations unless Group C,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
Coniine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",Strengths of 10% and over of base,-,Strengths under 10% of base,,,
Cotarnine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",Strengths of 10% and over of base,-,Strengths under 10% of base,,,
"Curare, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",Strengths over 10%,Strengths of 10% and under,,,,
Emetine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Strengths of less than 0.05% emetine; ipecacuanha; extracts and tinctures of ipecacuanha
"Ephedra, alkaloids of including synthetic preparations",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Raw herbs containing ephedra alkaloids
"Ergot, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Gelsemium, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Homatropine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Hyoscine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,"Stramonium contained in preparations for the relief of asthma in the form of cigarettes, smoking mixtures or fumigants"
"Jaborandi, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Strengths less than 0.25% of the alkaloids of Jaborandi
"Lobelia, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,"Cigarettes, smoking mixtures or fumigants for the relief of asthma; strengths less than 0.1%"
Mitragynine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",All preparations,,,,,
Nicotine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Tobacco
Noscapine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Nux Vomica, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",Strengths of 1.2% and over of Strychnine,-,Strengths under 1.2% of Strychnine,,,
Papaverine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Exhausted poppy capsules
Physostigmine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Pilocarpine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Strengths of 0.25% of base and under
Piper methysticum (kava-kava); its sats,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,All preparations,,,,
"Pomegranate, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Quebracho, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,Alkaloids of red Quebracho
"Rauwolfia, alkaloids of, including synthetic preparations",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Sabadilla, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Solanaceous alkaloids, unless specified elsewhere in the List",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,"Cigarettes, smoking mixtures or fumigants for the relief of asthma"
"Stavesacre, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations unless exempted,-,-,"Contained in soaps, ointments and lotions for external use"
